Member_number,Date,itemDescription,category
1551,11-05-2015,rum,Beverages
4609,07-11-2015,herbs,Vegetables
1975,26-09-2015,root vegetables,Vegetables
4859,09-09-2015,whole milk,Dairy
1502,31-10-2015,other vegetables,Vegetables
1901,21-04-2015,tropical fruit,Fruits
4487,20-07-2015,onions,Vegetables
3364,29-06-2015,salad dressing,Condiments
2537,14-10-2015,curd,Meat
4719,22-08-2015,yogurt,Dairy
2348,11-12-2015,pastry,Bakery
4294,03-12-2015,sauces,Condiments
3774,12-01-2015,rolls/buns,Bakery
2250,15-10-2015,whole milk,Dairy
3034,07-05-2015,other vegetables,Vegetables
1799,07-08-2015,other vegetables,Vegetables
1278,07-11-2015,root vegetables,Vegetables
2837,22-04-2015,yogurt,Dairy
3056,15-08-2015,other vegetables,Vegetables
2447,15-10-2015,root vegetables,Vegetables
1452,27-10-2015,chewing gum,Snacks
4838,31-01-2015,cream cheese ,Dairy
4822,04-07-2015,pastry,Bakery
2571,02-05-2015,tropical fruit,Fruits
4310,27-02-2015,spices,Spices & Seasonings
2133,11-07-2015,brown bread,Bakery
3568,17-10-2015,bottled beer,Beverages
4474,10-11-2015,brown bread,Bakery
3354,27-01-2015,salty snack,Snacks
2389,04-06-2015,yogurt,Dairy
1742,05-07-2015,photo/film,Baby Products
2574,18-05-2015,canned beer,Canned Goods
4498,07-04-2015,yogurt,Dairy
4612,30-04-2015,other vegetables,Vegetables
1075,29-01-2015,rolls/buns,Bakery
1371,22-01-2015,whipped/sour cream,Dairy
2960,21-06-2015,salty snack,Snacks
4434,23-02-2015,rolls/buns,Bakery
1378,12-10-2015,hamburger meat,Meat
1615,25-01-2015,beverages,Beverages
2503,08-02-2015,whole milk,Dairy
2381,01-04-2015,whole milk,Dairy
1613,25-08-2015,cookware,Spices & Seasonings
1031,26-08-2015,cream cheese ,Dairy
3200,01-04-2015,specialty chocolate,Dairy
1138,24-02-2015,butter milk,Dairy
4958,24-05-2015,butter,Dairy
4858,15-02-2015,frozen meals,Frozen
1616,08-12-2015,pip fruit,Fruits
1270,03-02-2015,cereals,Breakfast & Cereal
2347,27-01-2015,red/blush wine,Beverages
2076,04-12-2015,margarine,Meat
3597,07-07-2015,curd,Meat
2151,29-09-2015,pork,Meat
2940,07-11-2015,whole milk,Dairy
3475,14-12-2015,root vegetables,Vegetables
2715,15-03-2015,other vegetables,Vegetables
3644,02-10-2015,pastry,Bakery
4573,25-01-2015,curd,Meat
1649,29-11-2015,frozen meals,Frozen
4079,17-08-2015,whole milk,Dairy
1844,13-11-2015,salty snack,Snacks
1420,08-12-2015,rolls/buns,Bakery
2879,23-07-2015,whipped/sour cream,Dairy
2440,08-06-2015,frozen meals,Frozen
4095,29-12-2015,other vegetables,Vegetables
2437,15-11-2015,napkins,Condiments
1324,24-01-2015,condensed milk,Dairy
4184,15-12-2015,beverages,Beverages
4574,03-10-2015,pastry,Bakery
4881,26-03-2015,coffee,Beverages
3790,04-08-2015,dish cleaner,Cleaning Supplies
2616,17-03-2015,whole milk,Dairy
1275,04-06-2015,hygiene articles,Personal Care
2131,15-04-2015,yogurt,Dairy
2509,03-02-2015,rolls/buns,Bakery
3077,31-08-2015,salty snack,Snacks
3653,12-09-2015,rolls/buns,Bakery
2922,26-12-2015,onions,Vegetables
2971,27-01-2015,hamburger meat,Meat
1463,28-09-2015,specialty bar,Bakery
4323,11-10-2015,tropical fruit,Fruits
2632,01-07-2015,coffee,Beverages
1481,04-06-2015,pip fruit,Fruits
1283,06-03-2015,whipped/sour cream,Dairy
1164,01-02-2015,sliced cheese,Dairy
4275,11-09-2015,bottled water,Beverages
2600,18-02-2015,cake bar,Bakery
2084,15-08-2015,root vegetables,Vegetables
1621,20-02-2015,canned fruit,Fruits
1291,06-03-2015,rolls/buns,Bakery
3301,25-04-2015,cream cheese ,Dairy
2715,08-01-2015,male cosmetics,Baby Products
4150,26-08-2015,pastry,Bakery
1775,11-10-2015,cat food,Snacks
2073,04-02-2015,whole milk,Dairy
1912,22-08-2015,bottled water,Beverages
4033,06-06-2015,root vegetables,Vegetables
4877,28-02-2015,bottled water,Beverages
2590,28-09-2015,hamburger meat,Meat
3982,28-01-2015,liquor (appetizer),Beverages
2782,09-06-2015,other vegetables,Vegetables
2100,27-01-2015,other vegetables,Vegetables
1785,21-12-2015,bottled water,Beverages
3166,28-04-2015,hygiene articles,Personal Care
2251,29-03-2015,whole milk,Dairy
1528,20-02-2015,curd,Meat
2012,29-03-2015,cling film/bags,Cleaning Supplies
3309,28-10-2015,packaged fruit/vegetables,Vegetables
1220,08-09-2015,waffles,Snacks
2165,17-06-2015,pastry,Bakery
3337,01-02-2015,liver loaf,Bakery
4058,30-12-2015,cream cheese ,Dairy
1000,27-05-2015,pickled vegetables,Vegetables
3357,08-06-2015,newspapers,Bakery
2222,08-01-2015,dental care,Personal Care
1207,14-11-2015,whole milk,Dairy
3511,07-06-2015,specialty cheese,Dairy
2171,02-08-2015,curd,Meat
3078,01-09-2015,other vegetables,Vegetables
3879,25-06-2015,soda,Beverages
3472,06-02-2015,whole milk,Dairy
4519,03-11-2015,beef,Meat
3275,26-10-2015,napkins,Condiments
1763,13-09-2015,hard cheese,Dairy
4619,27-05-2015,UHT-milk,Dairy
2955,05-06-2015,soda,Beverages
2700,15-11-2015,canned fish,Canned Goods
2830,28-05-2015,salty snack,Snacks
4940,21-08-2015,coffee,Beverages
1311,29-06-2015,red/blush wine,Beverages
4116,01-05-2015,soda,Beverages
1476,22-03-2015,frozen vegetables,Vegetables
2918,04-11-2015,bottled water,Beverages
4121,01-11-2015,shopping bags,Dry Goods
1824,01-11-2015,bottled beer,Beverages
4293,05-07-2015,rolls/buns,Bakery
4308,05-12-2015,spread cheese,Dairy
2998,14-07-2015,yogurt,Dairy
2874,05-01-2015,hygiene articles,Personal Care
1281,11-02-2015,coffee,Beverages
3471,14-01-2015,hygiene articles,Personal Care
1936,15-08-2015,berries,Fruits
4163,30-05-2015,dishes,Seafood
3369,29-12-2015,other vegetables,Vegetables
2335,13-01-2015,other vegetables,Vegetables
3957,15-02-2015,frozen potato products,Frozen
4841,02-05-2015,rolls/buns,Bakery
2184,07-12-2015,beverages,Beverages
3118,29-12-2015,soda,Beverages
4728,25-04-2015,chocolate marshmallow,Snacks
2527,11-08-2015,whole milk,Dairy
2926,08-11-2015,whole milk,Dairy
1773,01-11-2015,pip fruit,Fruits
1801,12-06-2015,newspapers,Bakery
1916,13-11-2015,yogurt,Dairy
2523,04-04-2015,curd,Meat
2550,08-06-2015,snack products,Snacks
1319,19-05-2015,frozen meals,Frozen
1649,16-05-2015,rolls/buns,Bakery
2202,07-08-2015,newspapers,Bakery
2569,16-07-2015,yogurt,Dairy
2925,22-08-2015,herbs,Vegetables
2293,24-06-2015,long life bakery product,Bakery
2190,11-10-2015,bottled water,Beverages
2234,24-12-2015,liquor (appetizer),Beverages
4779,24-10-2015,other vegetables,Vegetables
3031,27-10-2015,whole milk,Dairy
4275,05-07-2015,salty snack,Snacks
2696,09-05-2015,curd,Meat
4453,02-08-2015,frozen vegetables,Vegetables
4776,08-02-2015,butter,Dairy
3471,12-10-2015,rolls/buns,Bakery
3143,21-01-2015,rolls/buns,Bakery
4312,22-04-2015,whole milk,Dairy
3327,04-05-2015,dishes,Seafood
4344,06-05-2015,specialty bar,Bakery
1718,11-03-2015,red/blush wine,Beverages
3041,10-07-2015,berries,Fruits
4110,06-02-2015,brown bread,Bakery
2947,28-04-2015,tropical fruit,Fruits
4280,06-12-2015,white wine,Beverages
3022,15-11-2015,canned fish,Canned Goods
1941,16-09-2015,other vegetables,Vegetables
4494,06-08-2015,frozen meals,Frozen
2749,22-06-2015,citrus fruit,Fruits
1241,22-05-2015,other vegetables,Vegetables
2066,23-03-2015,yogurt,Dairy
1777,11-07-2015,curd,Meat
2178,03-05-2015,beef,Meat
4727,11-04-2015,root vegetables,Vegetables
3433,01-10-2015,red/blush wine,Beverages
3035,08-11-2015,pastry,Bakery
1464,07-03-2015,pastry,Bakery
4161,03-05-2015,tropical fruit,Fruits
2654,25-11-2015,berries,Fruits
2206,21-03-2015,herbs,Vegetables
3950,05-12-2015,herbs,Vegetables
1706,07-03-2015,bottled water,Beverages
3726,26-05-2015,other vegetables,Vegetables
3325,29-11-2015,white bread,Bakery
3732,29-11-2015,oil,Condiments
2563,06-01-2015,other vegetables,Vegetables
4924,01-03-2015,whole milk,Dairy
1742,12-12-2015,detergent,Cleaning Supplies
4929,27-07-2015,grapes,Fruits
1092,09-10-2015,other vegetables,Vegetables
1907,19-07-2015,newspapers,Bakery
3540,05-03-2015,whole milk,Dairy
2990,11-07-2015,meat spreads,Meat
4088,05-03-2015,yogurt,Dairy
2028,20-12-2015,root vegetables,Vegetables
3026,24-01-2015,domestic eggs,Household
2209,20-04-2015,rolls/buns,Bakery
4071,15-10-2015,onions,Vegetables
4393,24-11-2015,herbs,Vegetables
2047,08-05-2015,canned beer,Canned Goods
4610,19-07-2015,newspapers,Bakery
1269,30-09-2015,whole milk,Dairy
3629,11-01-2015,detergent,Cleaning Supplies
1899,19-10-2015,butter milk,Dairy
1982,24-02-2015,butter,Dairy
4977,19-04-2015,bottled beer,Beverages
2399,12-02-2015,curd,Meat
2675,15-09-2015,rolls/buns,Bakery
2760,12-07-2015,newspapers,Bakery
2058,04-06-2015,chocolate marshmallow,Snacks
4065,07-07-2015,other vegetables,Vegetables
1450,16-11-2015,yogurt,Dairy
3739,06-08-2015,whole milk,Dairy
3128,21-07-2015,newspapers,Bakery
2331,28-11-2015,tropical fruit,Fruits
2505,10-10-2015,whipped/sour cream,Dairy
3758,13-01-2015,coffee,Beverages
3574,13-02-2015,margarine,Meat
2563,29-12-2015,whole milk,Dairy
2128,09-07-2015,brown bread,Bakery
1230,27-01-2015,butter milk,Dairy
4373,12-08-2015,rolls/buns,Bakery
1693,05-09-2015,specialty chocolate,Dairy
2743,13-07-2015,whole milk,Dairy
1612,05-03-2015,rolls/buns,Bakery
1835,22-06-2015,jam,Snacks
3574,08-05-2015,sliced cheese,Dairy
4102,08-04-2015,artif. sweetener,Dairy
1283,15-03-2015,onions,Vegetables
4719,04-10-2015,pasta,Grains & Pasta
4596,05-06-2015,bottled water,Beverages
1380,13-05-2015,yogurt,Dairy
1150,04-12-2015,fruit/vegetable juice,Fruits
2937,20-06-2015,whole milk,Dairy
2495,04-07-2015,newspapers,Bakery
3581,25-12-2015,sliced cheese,Dairy
3458,27-04-2015,butter,Dairy
3723,14-03-2015,snack products,Snacks
2249,22-01-2015,bottled water,Beverages
1430,17-12-2015,other vegetables,Vegetables
3039,28-11-2015,whole milk,Dairy
3455,01-02-2015,other vegetables,Vegetables
1831,09-01-2015,whole milk,Dairy
4831,27-02-2015,pastry,Bakery
3816,18-12-2015,fruit/vegetable juice,Fruits
2314,06-09-2015,yogurt,Dairy
2743,24-03-2015,pastry,Bakery
1538,30-11-2015,root vegetables,Vegetables
3604,15-04-2015,bottled water,Beverages
4734,22-11-2015,rolls/buns,Bakery
2363,24-06-2015,candles,Beverages
1484,27-08-2015,bottled beer,Beverages
1764,29-09-2015,other vegetables,Vegetables
3595,23-03-2015,bottled beer,Beverages
4303,25-12-2015,other vegetables,Vegetables
2695,07-01-2015,bottled beer,Beverages
4538,28-11-2015,liquor (appetizer),Beverages
1979,21-11-2015,herbs,Vegetables
1148,27-09-2015,other vegetables,Vegetables
3443,04-04-2015,curd,Meat
3334,17-03-2015,soda,Beverages
2508,06-10-2015,semi-finished bread,Bakery
4136,11-08-2015,root vegetables,Vegetables
3599,25-05-2015,flour,Grains & Pasta
4540,20-10-2015,mustard,Condiments
2590,16-12-2015,pot plants,Vegetables
3361,21-06-2015,flower (seeds),Fruits
2855,08-11-2015,soda,Beverages
3949,01-04-2015,bottled water,Beverages
4836,03-07-2015,whole milk,Dairy
2464,13-05-2015,rolls/buns,Bakery
1788,09-10-2015,pork,Meat
2061,05-04-2015,whole milk,Dairy
1963,30-12-2015,citrus fruit,Fruits
1485,15-05-2015,packaged fruit/vegetables,Vegetables
1771,20-03-2015,specialty bar,Bakery
3758,04-09-2015,whole milk,Dairy
3180,04-05-2015,zwieback,Frozen
2406,07-12-2015,whipped/sour cream,Dairy
2255,27-04-2015,packaged fruit/vegetables,Vegetables
4826,25-01-2015,flour,Grains & Pasta
1737,23-01-2015,rolls/buns,Bakery
2404,08-03-2015,tea,Beverages
3467,28-01-2015,beef,Meat
3395,19-08-2015,margarine,Meat
3405,04-03-2015,other vegetables,Vegetables
2718,23-03-2015,chewing gum,Snacks
2927,03-02-2015,citrus fruit,Fruits
4137,26-12-2015,dessert,Bakery
3282,22-06-2015,soda,Beverages
4567,10-09-2015,rolls/buns,Bakery
4550,09-11-2015,newspapers,Bakery
4223,03-10-2015,soda,Beverages
2363,25-10-2015,whole milk,Dairy
4806,24-11-2015,whole milk,Dairy
1153,08-12-2015,grapes,Fruits
4515,11-01-2015,beef,Meat
3200,11-02-2015,other vegetables,Vegetables
1012,03-10-2015,yogurt,Dairy
2585,14-03-2015,butter,Dairy
2229,19-03-2015,whipped/sour cream,Dairy
3406,23-10-2015,rolls/buns,Bakery
2234,15-07-2015,beverages,Beverages
2549,14-06-2015,frozen fish,Frozen
3385,16-02-2015,frozen vegetables,Vegetables
1746,08-08-2015,bottled water,Beverages
4632,09-03-2015,whole milk,Dairy
1476,29-03-2015,UHT-milk,Dairy
4738,15-08-2015,whole milk,Dairy
4235,26-04-2015,other vegetables,Vegetables
3574,05-11-2015,yogurt,Dairy
4614,23-02-2015,rolls/buns,Bakery
2216,17-11-2015,other vegetables,Vegetables
4425,17-10-2015,whole milk,Dairy
4666,02-12-2015,whole milk,Dairy
1148,09-07-2015,tropical fruit,Fruits
2351,06-01-2015,rolls/buns,Bakery
3543,17-05-2015,whole milk,Dairy
2955,06-06-2015,whole milk,Dairy
2257,13-03-2015,pip fruit,Fruits
2612,01-02-2015,tropical fruit,Fruits
3488,21-12-2015,other vegetables,Vegetables
2021,12-01-2015,whole milk,Dairy
2186,01-09-2015,whipped/sour cream,Dairy
1696,02-03-2015,rolls/buns,Bakery
3309,17-05-2015,semi-finished bread,Bakery
3092,24-12-2015,packaged fruit/vegetables,Vegetables
4497,20-02-2015,root vegetables,Vegetables
1848,27-06-2015,frozen vegetables,Vegetables
2466,27-07-2015,other vegetables,Vegetables
4411,22-07-2015,curd,Meat
2295,21-03-2015,root vegetables,Vegetables
1914,21-01-2015,other vegetables,Vegetables
1290,22-09-2015,whipped/sour cream,Dairy
2293,19-12-2015,pip fruit,Fruits
4027,12-05-2015,whipped/sour cream,Dairy
4693,01-07-2015,bottled beer,Beverages
1056,13-09-2015,other vegetables,Vegetables
4221,27-02-2015,hamburger meat,Meat
3248,14-01-2015,root vegetables,Vegetables
2815,10-09-2015,beef,Meat
4207,08-07-2015,pet care,Pet Supplies
1160,04-09-2015,chewing gum,Snacks
3868,22-01-2015,citrus fruit,Fruits
3707,26-06-2015,domestic eggs,Household
2335,23-07-2015,tropical fruit,Fruits
3432,04-04-2015,white bread,Bakery
4510,05-04-2015,specialty chocolate,Dairy
2893,06-10-2015,citrus fruit,Fruits
4902,16-04-2015,whole milk,Dairy
3443,23-10-2015,coffee,Beverages
1864,30-06-2015,yogurt,Dairy
2071,30-09-2015,canned beer,Canned Goods
3092,11-04-2015,whipped/sour cream,Dairy
2845,01-10-2015,processed cheese,Dairy
2314,25-11-2015,yogurt,Dairy
3882,19-10-2015,UHT-milk,Dairy
4309,15-09-2015,salt,Seafood
2369,08-09-2015,coffee,Beverages
1787,09-05-2015,frozen meals,Frozen
3284,19-11-2015,whole milk,Dairy
1375,11-10-2015,newspapers,Bakery
1949,06-03-2015,berries,Fruits
4805,04-05-2015,rolls/buns,Bakery
3759,02-04-2015,chocolate,Dairy
3160,27-02-2015,pip fruit,Fruits
2764,23-01-2015,domestic eggs,Household
4225,01-05-2015,bottled beer,Beverages
2719,10-04-2015,whole milk,Dairy
3856,02-04-2015,newspapers,Bakery
4079,20-09-2015,whole milk,Dairy
2455,04-01-2015,cream cheese ,Dairy
1582,06-08-2015,shopping bags,Dry Goods
1776,15-02-2015,margarine,Meat
3096,22-08-2015,fruit/vegetable juice,Fruits
3453,16-12-2015,frozen vegetables,Vegetables
2731,11-04-2015,grapes,Fruits
3899,24-12-2015,UHT-milk,Dairy
4886,26-01-2015,soda,Beverages
4455,04-01-2015,soda,Beverages
2690,06-03-2015,whole milk,Dairy
2171,28-07-2015,butter,Dairy
3015,12-06-2015,root vegetables,Vegetables
4938,29-03-2015,whipped/sour cream,Dairy
3449,10-10-2015,white bread,Bakery
1848,06-07-2015,whole milk,Dairy
3818,17-12-2015,whole milk,Dairy
1540,23-02-2015,berries,Fruits
1424,09-10-2015,instant coffee,Beverages
3888,13-12-2015,shopping bags,Dry Goods
2711,18-08-2015,bottled beer,Beverages
3363,25-01-2015,detergent,Cleaning Supplies
4633,17-08-2015,white bread,Bakery
2864,03-08-2015,shopping bags,Dry Goods
2500,05-01-2015,grapes,Fruits
1477,13-05-2015,berries,Fruits
1635,25-11-2015,citrus fruit,Fruits
2401,19-12-2015,red/blush wine,Beverages
4971,17-05-2015,baking powder,Bakery
1230,19-05-2015,domestic eggs,Household
4414,23-01-2015,newspapers,Bakery
2906,08-07-2015,dessert,Bakery
3856,22-03-2015,sliced cheese,Dairy
4025,27-04-2015,long life bakery product,Bakery
1414,24-05-2015,other vegetables,Vegetables
4793,24-11-2015,yogurt,Dairy
3101,17-01-2015,cat food,Snacks
1651,17-12-2015,whole milk,Dairy
4304,14-02-2015,canned fish,Canned Goods
3663,07-11-2015,frozen fish,Frozen
2525,23-10-2015,canned beer,Canned Goods
1625,08-10-2015,packaged fruit/vegetables,Vegetables
3812,11-08-2015,soda,Beverages
2879,28-12-2015,spread cheese,Dairy
4180,11-11-2015,whole milk,Dairy
4187,31-07-2015,bottled beer,Beverages
4292,05-12-2015,red/blush wine,Beverages
3043,05-01-2015,soda,Beverages
1819,18-12-2015,berries,Fruits
2446,08-09-2015,pork,Meat
1701,17-05-2015,photo/film,Baby Products
1047,09-08-2015,butter,Dairy
1065,27-10-2015,dessert,Bakery
4360,23-02-2015,coffee,Beverages
2818,11-11-2015,photo/film,Baby Products
2008,30-08-2015,mayonnaise,Condiments
2624,18-08-2015,whipped/sour cream,Dairy
4564,04-11-2015,curd,Meat
1049,01-07-2015,whole milk,Dairy
4433,25-03-2015,tea,Beverages
3433,19-05-2015,frozen meals,Frozen
4799,22-04-2015,roll products ,Baby Products
4774,16-07-2015,pip fruit,Fruits
1153,18-02-2015,ice cream,Dairy
4776,25-10-2015,other vegetables,Vegetables
3596,19-01-2015,soda,Beverages
4097,28-11-2015,grapes,Fruits
2262,04-11-2015,bottled water,Beverages
1518,07-09-2015,other vegetables,Vegetables
4593,18-08-2015,whipped/sour cream,Dairy
4322,03-12-2015,dishes,Seafood
3633,29-12-2015,pasta,Grains & Pasta
2356,31-08-2015,butter milk,Dairy
4268,16-04-2015,nuts/prunes,Fruits
2775,06-08-2015,grapes,Fruits
4757,16-06-2015,pip fruit,Fruits
1231,27-01-2015,onions,Vegetables
4323,17-12-2015,domestic eggs,Household
1182,21-01-2015,butter milk,Dairy
3266,19-08-2015,domestic eggs,Household
3109,29-06-2015,soda,Beverages
2450,31-07-2015,cream cheese ,Dairy
1208,24-08-2015,misc. beverages,Beverages
2115,24-06-2015,rolls/buns,Bakery
3774,17-12-2015,candy,Snacks
2904,17-09-2015,flour,Grains & Pasta
3438,26-10-2015,dessert,Bakery
3872,22-01-2015,root vegetables,Vegetables
3985,20-01-2015,bottled beer,Beverages
2483,04-07-2015,whipped/sour cream,Dairy
4445,01-12-2015,other vegetables,Vegetables
2462,25-03-2015,specialty cheese,Dairy
1068,01-07-2015,spread cheese,Dairy
1458,24-02-2015,grapes,Fruits
1382,26-03-2015,pip fruit,Fruits
3048,10-11-2015,white bread,Bakery
3501,27-07-2015,UHT-milk,Dairy
2340,02-03-2015,yogurt,Dairy
1665,29-11-2015,soda,Beverages
3982,29-09-2015,salt,Seafood
1843,06-12-2015,chicken,Meat
3365,06-01-2015,soda,Beverages
3230,14-01-2015,roll products ,Baby Products
2312,15-05-2015,red/blush wine,Beverages
3493,02-02-2015,pip fruit,Fruits
1474,24-06-2015,root vegetables,Vegetables
4907,21-04-2015,whole milk,Dairy
3575,08-05-2015,butter,Dairy
1509,13-05-2015,liquor,Beverages
1732,09-03-2015,yogurt,Dairy
4975,23-04-2015,pip fruit,Fruits
2947,16-07-2015,yogurt,Dairy
2509,20-04-2015,ham,Meat
3061,17-08-2015,whole milk,Dairy
1916,16-11-2015,fruit/vegetable juice,Fruits
4214,09-06-2015,chewing gum,Snacks
1104,27-10-2015,whole milk,Dairy
4702,03-08-2015,dessert,Bakery
2687,14-09-2015,root vegetables,Vegetables
3240,01-01-2015,whole milk,Dairy
2816,15-05-2015,pastry,Bakery
1524,05-12-2015,dessert,Bakery
2483,28-10-2015,liquor (appetizer),Beverages
2101,04-09-2015,citrus fruit,Fruits
3456,22-04-2015,other vegetables,Vegetables
4461,13-02-2015,white wine,Beverages
1242,14-12-2015,tropical fruit,Fruits
4017,04-11-2015,butter,Dairy
1814,20-11-2015,waffles,Snacks
1486,11-02-2015,yogurt,Dairy
1514,11-01-2015,waffles,Snacks
1710,21-05-2015,brown bread,Bakery
3032,05-06-2015,UHT-milk,Dairy
4896,24-10-2015,tropical fruit,Fruits
3373,24-12-2015,other vegetables,Vegetables
1746,14-10-2015,UHT-milk,Dairy
1355,19-09-2015,processed cheese,Dairy
1162,06-08-2015,citrus fruit,Fruits
2712,26-09-2015,other vegetables,Vegetables
1025,19-08-2015,UHT-milk,Dairy
3067,17-07-2015,packaged fruit/vegetables,Vegetables
2675,10-09-2015,rolls/buns,Bakery
1354,01-12-2015,frozen vegetables,Vegetables
4828,14-05-2015,whole milk,Dairy
1000,24-07-2015,misc. beverages,Beverages
2822,18-12-2015,shopping bags,Dry Goods
1814,22-01-2015,pip fruit,Fruits
1818,04-07-2015,butter,Dairy
3082,25-09-2015,packaged fruit/vegetables,Vegetables
4398,09-11-2015,salt,Seafood
1932,12-05-2015,whole milk,Dairy
3180,06-02-2015,sugar,Snacks
4332,25-10-2015,bottled beer,Beverages
3175,26-02-2015,cream cheese ,Dairy
1357,06-09-2015,canned beer,Canned Goods
2511,08-07-2015,bottled water,Beverages
1159,14-06-2015,soda,Beverages
3855,30-04-2015,oil,Condiments
1889,20-02-2015,UHT-milk,Dairy
2448,08-06-2015,cream cheese ,Dairy
2652,26-12-2015,pip fruit,Fruits
1385,19-11-2015,root vegetables,Vegetables
2960,31-08-2015,pastry,Bakery
2736,02-03-2015,onions,Vegetables
1768,21-04-2015,butter,Dairy
2002,20-10-2015,onions,Vegetables
3046,18-11-2015,curd,Meat
2284,18-03-2015,frozen fish,Frozen
1708,18-09-2015,spread cheese,Dairy
1952,23-11-2015,pasta,Grains & Pasta
3497,08-09-2015,red/blush wine,Beverages
1479,14-05-2015,pip fruit,Fruits
1237,09-04-2015,soda,Beverages
4353,24-08-2015,UHT-milk,Dairy
3528,18-08-2015,soda,Beverages
2092,04-09-2015,pasta,Grains & Pasta
2514,02-11-2015,other vegetables,Vegetables
4790,16-05-2015,other vegetables,Vegetables
1948,25-08-2015,pip fruit,Fruits
3581,16-01-2015,light bulbs,Vegetables
4778,26-03-2015,salty snack,Snacks
2601,26-03-2015,processed cheese,Dairy
4678,31-03-2015,pot plants,Vegetables
3642,24-02-2015,dish cleaner,Cleaning Supplies
2957,19-09-2015,chewing gum,Snacks
4585,28-09-2015,canned beer,Canned Goods
3637,10-07-2015,butter milk,Dairy
1353,09-02-2015,bottled water,Beverages
3257,13-02-2015,other vegetables,Vegetables
2524,10-09-2015,whipped/sour cream,Dairy
2035,23-12-2015,whole milk,Dairy
3658,26-09-2015,beef,Meat
1901,29-11-2015,whole milk,Dairy
3247,13-01-2015,rolls/buns,Bakery
4308,24-01-2015,newspapers,Bakery
1305,24-05-2015,other vegetables,Vegetables
1011,09-12-2015,grapes,Fruits
2234,29-07-2015,whipped/sour cream,Dairy
3744,08-12-2015,butter,Dairy
2903,08-08-2015,bottled beer,Beverages
3036,12-07-2015,yogurt,Dairy
2465,27-12-2015,curd,Meat
1233,20-03-2015,margarine,Meat
1366,29-05-2015,whipped/sour cream,Dairy
3741,06-08-2015,domestic eggs,Household
2230,28-05-2015,cream cheese ,Dairy
1206,15-05-2015,sugar,Snacks
3690,24-04-2015,pip fruit,Fruits
3620,18-06-2015,yogurt,Dairy
4759,20-02-2015,baby cosmetics,Baby Products
3543,11-10-2015,whole milk,Dairy
2792,29-07-2015,liver loaf,Bakery
1929,10-07-2015,other vegetables,Vegetables
2433,23-08-2015,other vegetables,Vegetables
4941,15-01-2015,hamburger meat,Meat
3547,07-10-2015,other vegetables,Vegetables
1290,24-04-2015,misc. beverages,Beverages
4207,28-08-2015,red/blush wine,Beverages
2107,01-03-2015,butter,Dairy
3050,11-03-2015,grapes,Fruits
3814,21-07-2015,whole milk,Dairy
4875,13-09-2015,citrus fruit,Fruits
3691,08-08-2015,yogurt,Dairy
2433,14-03-2015,shopping bags,Dry Goods
4757,09-01-2015,seasonal products,Baby Products
1407,29-04-2015,bottled water,Beverages
4718,12-06-2015,pork,Meat
1240,14-04-2015,rolls/buns,Bakery
1792,15-08-2015,domestic eggs,Household
4486,09-11-2015,tropical fruit,Fruits
1757,15-06-2015,packaged fruit/vegetables,Vegetables
2186,01-07-2015,zwieback,Frozen
3752,15-04-2015,pip fruit,Fruits
3051,29-11-2015,other vegetables,Vegetables
3688,23-10-2015,rolls/buns,Bakery
4676,15-01-2015,whole milk,Dairy
2142,25-06-2015,mayonnaise,Condiments
4939,29-06-2015,whole milk,Dairy
1806,06-07-2015,soda,Beverages
1595,05-10-2015,whipped/sour cream,Dairy
2086,09-03-2015,other vegetables,Vegetables
4251,03-10-2015,sweet spreads,Fruits
2689,30-04-2015,whole milk,Dairy
2560,26-11-2015,beef,Meat
2393,17-04-2015,whole milk,Dairy
1669,19-08-2015,whole milk,Dairy
3500,21-04-2015,tropical fruit,Fruits
1213,03-03-2015,newspapers,Bakery
4598,18-11-2015,other vegetables,Vegetables
1404,03-05-2015,rolls/buns,Bakery
1758,26-02-2015,bottled water,Beverages
1265,07-03-2015,other vegetables,Vegetables
1006,14-06-2015,flour,Grains & Pasta
2779,17-10-2015,root vegetables,Vegetables
4457,03-09-2015,rolls/buns,Bakery
2532,06-07-2015,pet care,Pet Supplies
2811,23-02-2015,onions,Vegetables
4004,10-05-2015,turkey,Meat
1737,09-05-2015,root vegetables,Vegetables
3266,25-10-2015,root vegetables,Vegetables
4981,10-01-2015,margarine,Meat
1934,06-08-2015,fruit/vegetable juice,Fruits
2512,19-01-2015,specialty chocolate,Dairy
3400,04-03-2015,whole milk,Dairy
4301,01-05-2015,whole milk,Dairy
2997,30-12-2015,brown bread,Bakery
1098,05-08-2015,specialty chocolate,Dairy
2208,30-07-2015,coffee,Beverages
3672,28-05-2015,chicken,Meat
3651,24-01-2015,other vegetables,Vegetables
3957,15-05-2015,hard cheese,Dairy
2986,11-01-2015,root vegetables,Vegetables
4433,25-05-2015,whole milk,Dairy
3822,27-05-2015,whole milk,Dairy
4588,30-04-2015,tropical fruit,Fruits
2622,17-07-2015,rolls/buns,Bakery
2117,02-05-2015,citrus fruit,Fruits
1780,12-07-2015,soft cheese,Dairy
3819,12-04-2015,soda,Beverages
1884,11-12-2015,other vegetables,Vegetables
2595,23-01-2015,yogurt,Dairy
3046,31-03-2015,newspapers,Bakery
3228,26-01-2015,other vegetables,Vegetables
2251,23-06-2015,pet care,Pet Supplies
2368,11-11-2015,other vegetables,Vegetables
